url,malicious
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=0f8 HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name= HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=tw2d HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name= HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=zzjib HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name= HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=5l6kwm HTTP/1.1"" 200 1701 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name= HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=zqks63h HTTP/1.1"" 200 1703 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name= HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
"127.0.0.1 - - [03/May/2021:03:04:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=0 HTTP/1.1"" 200 1694 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
